voltage-ch_1,capacity-ch_1,voltage-dch_1,capacity-dch_1,Voltage-ch_2,capacity-ch_2,voltage-dch_2,capacity-dch_2,voltage-ch_3,capacity-ch_3,voltage-dch_3,capacity-dch_3,Voltage-ch_4,capacity-ch_4,voltage-dch_4,capacity-dch_4,voltage-ch_5,capacity-ch_5,voltage-dch_5,capacity-dch_5,Voltage-ch_6,capacity-ch_6,voltage-dch_6,capacity-dch_6,voltage-ch_7,capacity-ch_7,voltage-dch_7,capacity-dch_7,Voltage-ch_8,capacity-ch_8,voltage-dch_8,capacity-dch_8,voltage-ch_9,capacity-ch_9,voltage-dch_9,capacity-dch_9,Voltage-ch_10,capacity-ch_10,voltage-dch_10,capacity-dch_10,voltage-ch_11,capacity-ch_11,voltage-dch_11,capacity-dch_11,voltage-ch_12,capacity-ch_12,voltage-dch_12,capacity-dch_12
2.894,0,3.487,0,2.907,0,3.444,0,2.887,0,3.423,0,2.879,0,3.431,0,2.883,0,3.518,0,2.855,0,3.449,0,2.853,0,3.455,0,2.889,0,3.46,0,2.832,0,3.517,0,2.85,0,3.505,0,2.878,0,3.505,0,2.9704,0,3.3071,0
2.902,0.00139,3.467,0.00139,2.914,0.00139,3.427,0.00139,2.893,0.00139,3.409,0.00139,2.886,0.00139,3.417,0.00139,2.89,0.00139,3.496,0.00139,2.863,0.00139,3.433,0.00139,2.86,0.00139,3.44,0.00139,2.896,0.00139,3.442,0.00139,2.84,0.00139,3.496,0.00139,2.859,0.00139,3.483,0.00139,2.887,0.00139,3.48,0.00139,3.1354,0.1084,3.2604,0.1083
2.907,0.00278,3.447,0.00278,2.92,0.00278,3.412,0.00278,2.899,0.00278,3.396,0.00278,2.892,0.00278,3.404,0.00278,2.896,0.00278,3.475,0.00278,2.869,0.00278,3.419,0.00278,2.866,0.00278,3.426,0.00278,2.902,0.00278,3.424,0.00278,2.845,0.00278,3.475,0.00278,2.865,0.00278,3.461,0.00278,2.893,0.00278,3.457,0.00278,3.1887,0.2167,3.2576,0.2166
2.911,0.00417,3.432,0.00417,2.924,0.00417,3.401,0.00417,2.903,0.00417,3.386,0.00417,2.896,0.00417,3.394,0.00417,2.9,0.00417,3.458,0.00417,2.873,0.00417,3.409,0.00417,2.87,0.00417,3.415,0.00417,2.906,0.00417,3.411,0.00417,2.85,0.00417,3.458,0.00417,2.87,0.00417,3.442,0.00417,2.897,0.00417,3.438,0.00417,3.2292,0.3251,3.2565,0.325
2.915,0.00556,3.42,0.00556,2.928,0.00556,3.392,0.00556,2.907,0.00556,3.378,0.00555,2.9,0.00556,3.385,0.00555,2.904,0.00556,3.443,0.00555,2.877,0.00556,3.4,0.00556,2.874,0.00556,3.406,0.00556,2.91,0.00556,3.4,0.00556,2.854,0.00556,3.442,0.00556,2.874,0.00556,3.428,0.00555,2.902,0.00556,3.422,0.00555,3.2621,0.4334,3.2557,0.4333
2.918,0.00694,3.409,0.00694,2.931,0.00694,3.385,0.00694,2.911,0.00694,3.371,0.00694,2.904,0.00694,3.378,0.00694,2.908,0.00694,3.431,0.00694,2.881,0.00694,3.392,0.00694,2.878,0.00694,3.399,0.00694,2.913,0.00694,3.392,0.00694,2.858,0.00694,3.43,0.00694,2.878,0.00694,3.415,0.00694,2.905,0.00694,3.409,0.00694,3.2876,0.5418,3.2551,0.5416
2.921,0.00833,3.401,0.00833,2.934,0.00833,3.378,0.00833,2.914,0.00833,3.365,0.00833,2.907,0.00833,3.372,0.00833,2.911,0.00833,3.421,0.00833,2.885,0.00833,3.386,0.00833,2.882,0.00833,3.393,0.00833,2.917,0.00833,3.385,0.00833,2.862,0.00833,3.419,0.00833,2.882,0.00833,3.405,0.00833,2.909,0.00833,3.399,0.00833,3.3002,0.6501,3.2543,0.6499
2.924,0.00972,3.394,0.00972,2.937,0.00972,3.373,0.00972,2.917,0.00972,3.36,0.00972,2.911,0.00972,3.367,0.00972,2.915,0.00972,3.412,0.00972,2.888,0.00972,3.38,0.00972,2.885,0.00972,3.387,0.00972,2.919,0.00972,3.379,0.00972,2.865,0.00972,3.41,0.00972,2.885,0.00972,3.396,0.00972,2.913,0.00972,3.39,0.00972,3.306,0.7585,3.2537,0.7583
2.927,0.01111,3.388,0.01111,2.94,0.01111,3.368,0.01111,2.92,0.01111,3.355,0.01111,2.914,0.01111,3.362,0.01111,2.918,0.01111,3.405,0.01111,2.892,0.01111,3.375,0.01111,2.888,0.01111,3.382,0.01111,2.922,0.01111,3.373,0.01111,2.869,0.01111,3.402,0.01111,2.889,0.01111,3.388,0.01111,2.916,0.01111,3.382,0.01111,3.3104,0.8668,3.253,0.8666
2.93,0.0125,3.383,0.0125,2.943,0.0125,3.364,0.0125,2.923,0.0125,3.351,0.0125,2.917,0.0125,3.357,0.0125,2.921,0.0125,3.398,0.0125,2.895,0.0125,3.371,0.0125,2.891,0.0125,3.378,0.0125,2.925,0.0125,3.369,0.0125,2.872,0.0125,3.395,0.0125,2.892,0.0125,3.382,0.0125,2.919,0.0125,3.376,0.0125,3.3145,0.9752,3.2523,0.9749
2.932,0.01389,3.378,0.01389,2.945,0.01389,3.36,0.01389,2.926,0.01389,3.347,0.01389,2.92,0.01389,3.353,0.01389,2.924,0.01389,3.392,0.01389,2.898,0.01389,3.366,0.01389,2.895,0.01389,3.374,0.01389,2.928,0.01389,3.364,0.01389,2.875,0.01389,3.389,0.01389,2.896,0.01389,3.376,0.01389,2.922,0.01389,3.37,0.01389,3.3186,1.0835,3.2516,1.0832
2.935,0.01528,3.374,0.01528,2.948,0.01528,3.356,0.01528,2.929,0.01528,3.343,0.01528,2.923,0.01528,3.349,0.01528,2.927,0.01528,3.387,0.01528,2.901,0.01528,3.362,0.01528,2.897,0.01528,3.37,0.01528,2.93,0.01528,3.361,0.01528,2.878,0.01528,3.384,0.01528,2.899,0.01528,3.371,0.01528,2.925,0.01528,3.365,0.01528,3.3229,1.1919,3.2509,1.1916
2.937,0.01667,3.37,0.01667,2.95,0.01667,3.353,0.01667,2.932,0.01667,3.34,0.01667,2.926,0.01667,3.346,0.01667,2.929,0.01667,3.383,0.01667,2.904,0.01667,3.359,0.01667,2.9,0.01667,3.366,0.01667,2.933,0.01667,3.357,0.01667,2.881,0.01667,3.379,0.01667,2.902,0.01667,3.366,0.01667,2.928,0.01667,3.36,0.01667,3.3274,1.3002,3.2501,1.2999
2.94,0.01806,3.366,0.01806,2.953,0.01806,3.349,0.01805,2.934,0.01806,3.336,0.01805,2.929,0.01805,3.342,0.01805,2.932,0.01806,3.378,0.01805,2.906,0.01806,3.355,0.01806,2.903,0.01805,3.363,0.01806,2.935,0.01806,3.354,0.01806,2.884,0.01806,3.375,0.01806,2.905,0.01806,3.362,0.01805,2.931,0.01805,3.356,0.01805,3.332,1.4086,3.2494,1.4082
2.942,0.01944,3.363,0.01944,2.955,0.01944,3.346,0.01944,2.937,0.01944,3.333,0.01944,2.931,0.01944,3.339,0.01944,2.935,0.01944,3.374,0.01944,2.909,0.01944,3.352,0.01944,2.906,0.01944,3.36,0.01944,2.938,0.01944,3.351,0.01945,2.887,0.01944,3.371,0.01944,2.907,0.01944,3.358,0.01944,2.934,0.01944,3.352,0.01944,3.3367,1.517,3.2486,1.5165
2.944,0.02083,3.36,0.02083,2.957,0.02083,3.344,0.02083,2.94,0.02083,3.33,0.02083,2.934,0.02083,3.336,0.02083,2.937,0.02083,3.371,0.02083,2.912,0.02083,3.349,0.02083,2.908,0.02083,3.356,0.02083,2.94,0.02083,3.349,0.02083,2.889,0.02083,3.367,0.02083,2.91,0.02083,3.354,0.02083,2.937,0.02083,3.349,0.02083,3.3413,1.6253,3.2477,1.6248
2.947,0.02222,3.356,0.02222,2.959,0.02222,3.341,0.02222,2.942,0.02222,3.327,0.02222,2.937,0.02222,3.333,0.02222,2.94,0.02222,3.367,0.02222,2.915,0.02222,3.346,0.02222,2.911,0.02222,3.353,0.02222,2.942,0.02222,3.346,0.02222,2.892,0.02222,3.364,0.02222,2.913,0.02222,3.351,0.02222,2.939,0.02222,3.346,0.02222,3.3458,1.7337,3.2469,1.7332
2.949,0.02361,3.354,0.02361,2.962,0.02361,3.338,0.02361,2.945,0.02361,3.325,0.02361,2.939,0.02361,3.33,0.02361,2.942,0.02361,3.364,0.02361,2.917,0.02361,3.343,0.02361,2.913,0.02361,3.351,0.02361,2.945,0.02361,3.344,0.02361,2.895,0.02361,3.361,0.02361,2.916,0.02361,3.348,0.02361,2.942,0.02361,3.343,0.02361,3.3502,1.842,3.246,1.8415
2.951,0.025,3.351,0.025,2.964,0.025,3.336,0.025,2.947,0.025,3.322,0.025,2.942,0.025,3.327,0.025,2.945,0.025,3.361,0.025,2.92,0.025,3.34,0.025,2.916,0.025,3.348,0.025,2.947,0.025,3.341,0.025,2.897,0.025,3.357,0.025,2.918,0.025,3.345,0.025,2.944,0.025,3.34,0.025,3.3543,1.9504,3.2451,1.9498
2.953,0.02639,3.348,0.02639,2.966,0.02639,3.333,0.02639,2.949,0.02639,3.319,0.02639,2.944,0.02639,3.324,0.02639,2.947,0.02639,3.358,0.02639,2.922,0.02639,3.337,0.02639,2.918,0.02639,3.345,0.02639,2.949,0.02639,3.339,0.02639,2.9,0.02639,3.354,0.02639,2.921,0.02639,3.341,0.02639,2.947,0.02639,3.337,0.02639,3.3583,2.0587,3.2442,2.0581
2.955,0.02778,3.345,0.02778,2.968,0.02778,3.331,0.02778,2.952,0.02778,3.317,0.02778,2.947,0.02778,3.322,0.02778,2.949,0.02778,3.355,0.02778,2.925,0.02778,3.334,0.02778,2.921,0.02778,3.343,0.02778,2.951,0.02778,3.337,0.02778,2.903,0.02778,3.351,0.02778,2.924,0.02778,3.339,0.02778,2.949,0.02778,3.334,0.02778,3.3621,2.1671,3.2432,2.1665
2.957,0.02917,3.343,0.02917,2.97,0.02917,3.329,0.02917,2.954,0.02917,3.314,0.02917,2.949,0.02917,3.319,0.02917,2.952,0.02917,3.352,0.02917,2.927,0.02917,3.332,0.02917,2.923,0.02917,3.34,0.02917,2.953,0.02917,3.335,0.02917,2.905,0.02917,3.349,0.02917,2.926,0.02917,3.336,0.02917,2.952,0.02917,3.332,0.02917,3.3657,2.2754,3.2423,2.2748
2.959,0.03056,3.34,0.03056,2.972,0.03056,3.327,0.03055,2.956,0.03056,3.312,0.03055,2.951,0.03055,3.317,0.03055,2.954,0.03056,3.349,0.03055,2.929,0.03056,3.329,0.03056,2.926,0.03055,3.338,0.03056,2.955,0.03056,3.333,0.03056,2.907,0.03056,3.346,0.03056,2.929,0.03056,3.333,0.03055,2.954,0.03055,3.329,0.03055,3.369,2.3838,3.2413,2.3831
2.961,0.03194,3.338,0.03194,2.974,0.03195,3.325,0.03194,2.958,0.03194,3.31,0.03194,2.954,0.03194,3.314,0.03194,2.956,0.03194,3.347,0.03194,2.932,0.03194,3.327,0.03194,2.928,0.03194,3.335,0.03194,2.957,0.03195,3.331,0.03195,2.91,0.03194,3.343,0.03194,2.931,0.03194,3.33,0.03194,2.957,0.03194,3.327,0.03194,3.3721,2.4922,3.2403,2.4914
2.963,0.03333,3.335,0.03333,2.976,0.03333,3.322,0.03333,2.961,0.03333,3.307,0.03333,2.956,0.03333,3.312,0.03333,2.958,0.03333,3.344,0.03333,2.934,0.03333,3.324,0.03333,2.93,0.03333,3.333,0.03333,2.959,0.03333,3.329,0.03333,2.912,0.03333,3.341,0.03333,2.933,0.03333,3.328,0.03333,2.959,0.03333,3.325,0.03333,3.3748,2.6005,3.2393,2.5998
2.965,0.03472,3.333,0.03472,2.978,0.03472,3.321,0.03472,2.963,0.03472,3.305,0.03472,2.958,0.03472,3.31,0.03472,2.96,0.03472,3.342,0.03472,2.936,0.03472,3.322,0.03472,2.932,0.03472,3.331,0.03472,2.961,0.03472,3.328,0.03472,2.915,0.03472,3.338,0.03472,2.936,0.03472,3.325,0.03472,2.961,0.03472,3.323,0.03472,3.377,2.7089,3.2382,2.7081
2.967,0.03611,3.331,0.03611,2.98,0.03611,3.319,0.03611,2.965,0.03611,3.303,0.03611,2.96,0.03611,3.307,0.03611,2.962,0.03611,3.339,0.03611,2.938,0.03611,3.32,0.03611,2.934,0.03611,3.328,0.03611,2.963,0.03611,3.326,0.03611,2.917,0.03611,3.336,0.03611,2.938,0.03611,3.323,0.03611,2.963,0.03611,3.321,0.03611,3.379,2.8172,3.2371,2.8164
2.969,0.0375,3.329,0.0375,2.982,0.0375,3.317,0.0375,2.967,0.0375,3.301,0.0375,2.963,0.0375,3.305,0.0375,2.965,0.0375,3.337,0.0375,2.941,0.0375,3.318,0.0375,2.937,0.0375,3.326,0.0375,2.965,0.0375,3.324,0.0375,2.919,0.0375,3.333,0.0375,2.94,0.0375,3.321,0.0375,2.966,0.0375,3.319,0.0375,3.3807,2.9256,3.2361,2.9247
2.971,0.03889,3.326,0.03889,2.983,0.03889,3.315,0.03889,2.969,0.03889,3.299,0.03889,2.965,0.03889,3.303,0.03889,2.967,0.03889,3.335,0.03889,2.943,0.03889,3.315,0.03889,2.939,0.03889,3.324,0.03889,2.967,0.03889,3.323,0.03889,2.921,0.03889,3.331,0.03889,2.943,0.03889,3.318,0.03889,2.968,0.03889,3.317,0.03889,3.3821,3.0339,3.235,3.0331
2.973,0.04028,3.324,0.04028,2.985,0.04028,3.313,0.04028,2.971,0.04028,3.297,0.04028,2.967,0.04028,3.301,0.04028,2.969,0.04028,3.333,0.04028,2.945,0.04028,3.313,0.04028,2.941,0.04028,3.322,0.04028,2.969,0.04028,3.321,0.04028,2.924,0.04028,3.329,0.04028,2.945,0.04028,3.316,0.04028,2.97,0.04028,3.315,0.04028,3.3835,3.1423,3.234,3.1414
2.975,0.04167,3.322,0.04167,2.987,0.04167,3.311,0.04167,2.973,0.04167,3.295,0.04166,2.969,0.04167,3.299,0.04167,2.971,0.04167,3.33,0.04167,2.947,0.04167,3.311,0.04167,2.943,0.04167,3.32,0.04167,2.971,0.04167,3.319,0.04167,2.926,0.04167,3.326,0.04167,2.947,0.04167,3.314,0.04167,2.972,0.04167,3.313,0.04166,3.3847,3.2506,3.233,3.2497
2.977,0.04306,3.32,0.04306,2.989,0.04306,3.31,0.04305,2.975,0.04306,3.293,0.04305,2.971,0.04305,3.297,0.04305,2.973,0.04306,3.328,0.04305,2.949,0.04306,3.309,0.04306,2.945,0.04305,3.318,0.04306,2.972,0.04306,3.318,0.04306,2.928,0.04306,3.324,0.04306,2.949,0.04306,3.311,0.04305,2.974,0.04305,3.311,0.04305,3.3857,3.359,3.2319,3.358
2.978,0.04444,3.318,0.04444,2.99,0.04445,3.308,0.04444,2.977,0.04444,3.291,0.04444,2.973,0.04444,3.295,0.04444,2.974,0.04444,3.326,0.04444,2.951,0.04444,3.307,0.04445,2.947,0.04444,3.316,0.04444,2.974,0.04445,3.316,0.04445,2.93,0.04444,3.322,0.04444,2.951,0.04444,3.309,0.04444,2.976,0.04444,3.309,0.04444,3.3867,3.4674,3.2309,3.4663
2.98,0.04583,3.316,0.04583,2.992,0.04583,3.306,0.04583,2.979,0.04583,3.289,0.04583,2.975,0.04583,3.293,0.04583,2.976,0.04583,3.324,0.04583,2.953,0.04583,3.305,0.04583,2.949,0.04583,3.314,0.04583,2.976,0.04583,3.315,0.04584,2.932,0.04583,3.32,0.04583,2.954,0.04583,3.307,0.04583,2.978,0.04583,3.307,0.04583,3.3876,3.5757,3.2299,3.5747
2.982,0.04722,3.314,0.04722,2.994,0.04722,3.305,0.04722,2.981,0.04722,3.288,0.04722,2.977,0.04722,3.291,0.04722,2.978,0.04722,3.322,0.04722,2.955,0.04722,3.303,0.04722,2.951,0.04722,3.312,0.04722,2.978,0.04722,3.313,0.04722,2.934,0.04722,3.318,0.04722,2.956,0.04722,3.305,0.04722,2.981,0.04722,3.305,0.04722,3.3884,3.6841,3.2289,3.683
2.984,0.04861,3.313,0.04861,2.996,0.04861,3.303,0.04861,2.983,0.04861,3.286,0.04861,2.979,0.04861,3.289,0.04861,2.98,0.04861,3.32,0.04861,2.957,0.04861,3.302,0.04861,2.953,0.04861,3.311,0.04861,2.979,0.04861,3.312,0.04861,2.936,0.04861,3.316,0.04861,2.958,0.04861,3.303,0.04861,2.983,0.04861,3.304,0.04861,3.3892,3.7924,3.2279,3.7913
2.985,0.05,3.311,0.05,2.997,0.05,3.301,0.05,2.985,0.05,3.284,0.05,2.981,0.05,3.288,0.05,2.982,0.05,3.318,0.05,2.959,0.05,3.3,0.05,2.955,0.05,3.309,0.05,2.981,0.05,3.31,0.05,2.939,0.05,3.314,0.05,2.96,0.05,3.301,0.05,2.985,0.05,3.302,0.05,3.39,3.9008,3.227,3.8996
2.987,0.05139,3.309,0.05139,2.999,0.05139,3.3,0.05139,2.987,0.05139,3.282,0.05139,2.983,0.05139,3.286,0.05139,2.984,0.05139,3.316,0.05139,2.961,0.05139,3.298,0.05139,2.957,0.05139,3.307,0.05139,2.983,0.05139,3.309,0.05139,2.941,0.05139,3.312,0.05139,2.962,0.05139,3.299,0.05139,2.987,0.05139,3.3,0.05139,3.3908,4.0091,3.226,4.008
2.989,0.05278,3.307,0.05278,3,0.05278,3.298,0.05278,2.989,0.05278,3.281,0.05278,2.985,0.05278,3.284,0.05278,2.986,0.05278,3.315,0.05278,2.963,0.05278,3.296,0.05278,2.958,0.05278,3.305,0.05278,2.985,0.05278,3.308,0.05278,2.943,0.05278,3.31,0.05278,2.964,0.05278,3.297,0.05278,2.988,0.05278,3.299,0.05278,3.3916,4.1175,3.225,4.1163
